data,any,mes,hipoteques
2003-01-01,2003,gener,114571
2003-02-01,2003,febrer,115671
2003-03-01,2003,març,112951
2003-04-01,2003,abril,101474
2003-05-01,2003,maig,113010
2003-06-01,2003,juny,109578
2003-07-01,2003,juliol,110490
2003-08-01,2003,agost,89933
2003-09-01,2003,setembre,114686
2003-10-01,2003,octubre,125353
2003-11-01,2003,novembre,107123
2003-12-01,2003,desembre,101325
2004-01-01,2004,gener,131049
2004-02-01,2004,febrer,132286
2004-03-01,2004,març,140443
2004-04-01,2004,abril,121414
2004-05-01,2004,maig,140387
2004-06-01,2004,juny,140449
2004-07-01,2004,juliol,131077
2004-08-01,2004,agost,114990
2004-09-01,2004,setembre,137558
2004-10-01,2004,octubre,124879
2004-11-01,2004,novembre,129337
2004-12-01,2004,desembre,116863
2005-01-01,2005,gener,146605
2005-02-01,2005,febrer,142523
2005-03-01,2005,març,135850
2005-04-01,2005,abril,149922
2005-05-01,2005,maig,147992
2005-06-01,2005,juny,157996
2005-07-01,2005,juliol,136438
2005-08-01,2005,agost,128637
2005-09-01,2005,setembre,180116
2005-10-01,2005,octubre,141263
2005-11-01,2005,novembre,146667
2005-12-01,2005,desembre,132558
2006-01-01,2006,gener,168839
2006-02-01,2006,febrer,159058
2006-03-01,2006,març,177540
2006-04-01,2006,abril,133793
2006-05-01,2006,maig,172538
2006-06-01,2006,juny,167615
2006-07-01,2006,juliol,147865
2006-08-01,2006,agost,134329
2006-09-01,2006,setembre,156703
2006-10-01,2006,octubre,152447
2006-11-01,2006,novembre,153096
2006-12-01,2006,desembre,119102
2007-01-01,2007,gener,174967
2007-02-01,2007,febrer,150006
2007-03-01,2007,març,164428
2007-04-01,2007,abril,135932
2007-05-01,2007,maig,165079
2007-06-01,2007,juny,151284
2007-07-01,2007,juliol,145266
2007-08-01,2007,agost,126403
2007-09-01,2007,setembre,141068
2007-10-01,2007,octubre,140461
2007-11-01,2007,novembre,136053
2007-12-01,2007,desembre,100635
2008-01-01,2008,gener,134527
2008-02-01,2008,febrer,120455
2008-03-01,2008,març,101966
2008-04-01,2008,abril,120865
2008-05-01,2008,maig,110758
2008-06-01,2008,juny,102253
2008-07-01,2008,juliol,111025
2008-08-01,2008,agost,83433
2008-09-01,2008,setembre,98977
2008-10-01,2008,octubre,97751
2008-11-01,2008,novembre,76711
2008-12-01,2008,desembre,79744
2009-01-01,2009,gener,81541
2009-02-01,2009,febrer,82704
2009-03-01,2009,març,84508
2009-04-01,2009,abril,77618
2009-05-01,2009,maig,91072
2009-06-01,2009,juny,95074
2009-07-01,2009,juliol,94672
2009-08-01,2009,agost,79130
2009-09-01,2009,setembre,98863
2009-10-01,2009,octubre,84382
2009-11-01,2009,novembre,78374
2009-12-01,2009,desembre,75985
2010-01-01,2010,gener,85464
2010-02-01,2010,febrer,84051
2010-03-01,2010,març,82672
2010-04-01,2010,abril,76461
2010-05-01,2010,maig,83940
2010-06-01,2010,juny,85209
2010-07-01,2010,juliol,80702
2010-08-01,2010,agost,73980
2010-09-01,2010,setembre,79042
2010-10-01,2010,octubre,58980
2010-11-01,2010,novembre,63956
2010-12-01,2010,desembre,61604
2011-01-01,2011,gener,71749
2011-02-01,2011,febrer,73386
2011-03-01,2011,març,65783
2011-04-01,2011,abril,47236
2011-05-01,2011,maig,57422
2011-06-01,2011,juny,49752
2011-07-01,2011,juliol,44467
2011-08-01,2011,agost,45062
2011-09-01,2011,setembre,48371
2011-10-01,2011,octubre,36594
2011-11-01,2011,novembre,43349
2011-12-01,2011,desembre,36795
2012-01-01,2012,gener,44228
2012-02-01,2012,febrer,40669
2012-03-01,2012,març,39919
2012-04-01,2012,abril,33755
2012-05-01,2012,maig,40977
2012-06-01,2012,juny,38770
2012-07-01,2012,juliol,39122
2012-08-01,2012,agost,32507
2012-09-01,2012,setembre,34355
2012-10-01,2012,octubre,29335
2012-11-01,2012,novembre,29809
2012-12-01,2012,desembre,26930
2013-01-01,2013,gener,39806
2013-02-01,2013,febrer,36233
2013-03-01,2013,març,25827
2013-04-01,2013,abril,27760
2013-05-01,2013,maig,28583
2013-06-01,2013,juny,22552
2013-07-01,2013,juliol,21694
2013-08-01,2013,agost,18271
2013-09-01,2013,setembre,22240
2013-10-01,2013,octubre,23763
2013-11-01,2013,novembre,21749
2013-12-01,2013,desembre,19855
2014-01-01,2014,gener,26907
2014-02-01,2014,febrer,24297
2014-03-01,2014,març,24756
2014-04-01,2014,abril,22202
2014-05-01,2014,maig,26126
2014-06-01,2014,juny,24489
2014-07-01,2014,juliol,25374
2014-08-01,2014,agost,22665
2014-09-01,2014,setembre,28890
2014-10-01,2014,octubre,26026
2014-11-01,2014,novembre,23735
2014-12-01,2014,desembre,22332
2015-01-01,2015,gener,31508
2015-02-01,2015,febrer,30028
2015-03-01,2015,març,28292
2015-04-01,2015,abril,27403
2015-05-01,2015,maig,28186
2015-06-01,2015,juny,30630
2015-07-01,2015,juliol,32622
2015-08-01,2015,agost,28015
2015-09-01,2015,setembre,34814
2015-10-01,2015,octubre,27569
2015-11-01,2015,novembre,27105
2015-12-01,2015,desembre,27130
2016-01-01,2016,gener,31942
2016-02-01,2016,febrer,34431
2016-03-01,2016,març,30976
2016-04-01,2016,abril,32181
2016-05-01,2016,maig,35963
2016-06-01,2016,juny,34465
2016-07-01,2016,juliol,26411
2016-08-01,2016,agost,28295
2016-09-01,2016,setembre,35540
2016-10-01,2016,octubre,32053
2016-11-01,2016,novembre,33887
2016-12-01,2016,desembre,27984
2017-01-01,2017,gener,36405
2017-02-01,2017,febrer,33906
2017-03-01,2017,març,37186
2017-04-01,2017,abril,28198
2017-05-01,2017,maig,38726
2017-06-01,2017,juny,39355
2017-07-01,2017,juliol,34023
2017-08-01,2017,agost,35077
2017-09-01,2017,setembre,38917
2017-10-01,2017,octubre,33498
2017-11-01,2017,novembre,33734
2017-12-01,2017,desembre,27263
2018-01-01,2018,gener,40717
2018-02-01,2018,febrer,38529
2018-03-01,2018,març,35331
2018-04-01,2018,abril,39060
2018-05-01,2018,maig,40950
2018-06-01,2018,juny,40644
2018-07-01,2018,juliol,39571
2018-08-01,2018,agost,38545
2018-09-01,2018,setembre,43286
2018-10-01,2018,octubre,40537
2018-11-01,2018,novembre,40170
2018-12-01,2018,desembre,28168
